Name,Type,Ownership,State,City,Website,Accreditation Status,Email,Phone,Address,Source URL,License
"Amadeus University, Amizi, Abia State",university,private,Abia,Amizi,,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Amaj University, Kwali, Abuja",university,private,Abuja,Kwali,,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Ambrose Alli University, Ekpoma",university,state,Unknown,Ekpoma,https://myschoolgist.com/ng/aau-courses/,accredited,,,,https://myschoolgist.com/ng/state-universities-in-nigeria/,CC-BY-NC-SA
"American University of Nigeria, Yola",university,private,Niger,Yola,https://myschoolgist.com/ng/aun-courses/,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Anan University, Kwall, Plateau State",university,private,Plateau,Kwall,,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
Anchor University Ayobo Lagos State,university,private,Lagos,Unknown,https://myschoolgist.com/ng/anchor-university-courses/,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
Arthur Javis University Akpoyubo Cross river State,university,private,Cross River,Unknown,https://myschoolgist.com/ng/list-of-available-courses-in-arthur-jarvis-university/,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
Atiba University Oyo,university,private,Oyo,Unknown,https://myschoolgist.com/ng/atiba-university-courses/,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
Augustine University,university,private,Unknown,Unknown,https://myschoolgist.com/ng/list-of-available-courses-in-augustine-university/,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Ave Maria University, Piyanko, Nasarawa State",university,private,Nasarawa,Piyanko,https://myschoolgist.com/ng/ave-maria-university-courses/,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Azman University, Kano State",university,private,Kano,Kano State,,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Baba Ahmed University, Kano State",university,private,Kano,Kano State,,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Babcock University,Ilishan-Remo",university,private,Unknown,Ilishan,https://myschoolgist.com/ng/courses-in-babcock-university/,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
Bayero University Kano,university,federal,Kano,Kano,https://buk.edu.ng,Accredited,info@buk.edu.ng,,,https://nuc.edu.ng,
"Bayero University, Kano",university,federal,Kano,Unknown,https://myschoolgist.com/ng/buk-courses/,accredited,,,,https://myschoolgist.com/ng/federal-universities-in-nigeria/,CC-BY-NC-SA
Baze University,university,private,Unknown,Unknown,https://myschoolgist.com/ng/baze-university-courses/,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Bells University of Technology, Otta",university,private,Unknown,Otta,https://myschoolgist.com/ng/list-of-available-courses-in-bells-university/,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Benson Idahosa University, Benin City",university,private,Unknown,City,https://myschoolgist.com/ng/biu-courses/,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Bingham University, New Karu",university,private,Unknown,New Karu,https://myschoolgist.com/ng/list-of-available-courses-in-bingham-ecwa-university/,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Bornu State University, Maiduguri",university,state,Unknown,Maiduguri,https://myschoolgist.com/ng/borno-state-university-courses/,accredited,,,,https://myschoolgist.com/ng/state-universities-in-nigeria/,CC-BY-NC-SA
"Bowen University, Iwo",university,private,Unknown,Iwo,https://myschoolgist.com/ng/list-of-available-courses-in-bowen-university/,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"British Canadian University, Obufu Cross River State",university,private,Cross River,Obufu Cross River State,,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Caleb University, Lagos",university,private,Lagos,Unknown,https://myschoolgist.com/ng/caleb-university-courses/,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Canadian University of Nigeria, Abuja",university,private,Niger,Unknown,,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Capital City University, Kano State",university,private,Kano,Kano State,https://myschoolgist.com/ng/ccuk-courses/,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Caritas University, Enugu",university,private,Enugu,Unknown,,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
Chrisland University,university,private,Unknown,Unknown,https://myschoolgist.com/ng/chrisland-university-courses/,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
Christopher University Mowe,university,private,Unknown,Unknown,https://myschoolgist.com/ng/list-of-available-courses-in-christopher-university/,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Chukwuemeka Odumegwu Ojukwu University, Uli",university,state,Unknown,Uli,https://myschoolgist.com/ng/coou-ansu-courses/,accredited,,,,https://myschoolgist.com/ng/state-universities-in-nigeria/,CC-BY-NC-SA
"Claretian University of Nigeria, Nekede, Imo State",university,private,Imo,Nekede,https://myschoolgist.com/ng/claretian-university-courses/,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
Clifford University Owerrinta Abia State,university,private,Abia,Unknown,https://myschoolgist.com/ng/clifford-university-courses/,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Cn Hill University Eiyenkorin, Kwara State",university,private,Kwara,Kwara State,https://myschoolgist.com/ng/crown-hill-university-courses/,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
Coal City University Enugu State,university,private,Enugu,Unknown,https://myschoolgist.com/ng/coal-city-university-courses/,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"College of Petroleum and Energy Studies, Kaduna State",university,private,Kaduna,Kaduna State,,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Confluence University of Science and Technology, Osara,",university,state,Unknown,Osara,https://myschoolgist.com/ng/custech-courses/,accredited,,,,https://myschoolgist.com/ng/state-universities-in-nigeria/,CC-BY-NC-SA
Cosmopolitan University Abuja,university,private,Abuja,Unknown,,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
Covenant University,university,private,Ogun,Ota,https://covenantuniversity.edu.ng,Accredited,info@covenantuniversity.edu.ng,,,https://nuc.edu.ng,
Covenant University Ota,university,private,Unknown,Unknown,https://myschoolgist.com/ng/list-of-available-courses-in-covenant-university/,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
Crawford University Igbesa,university,private,Unknown,Unknown,https://myschoolgist.com/ng/list-of-available-courses-in-crawford-university/,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
Crescent University,university,private,Unknown,Unknown,https://myschoolgist.com/ng/list-of-available-courses-in-crescent-university/,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Cross River State University of Science &Technology, Calabar",university,state,Cross River,Calabar,https://myschoolgist.com/ng/crutech-courses/,accredited,,,,https://myschoolgist.com/ng/state-universities-in-nigeria/,CC-BY-NC-SA
"David Nweze Umahi Federal University of Medical Sciences, Uburu, Ebonyi State",university,federal,Ebonyi,Uburu,https://myschoolgist.com/ng/kdums-courses/,accredited,,,,https://myschoolgist.com/ng/federal-universities-in-nigeria/,CC-BY-NC-SA
"Dennis Osadebe University, Asaba",university,state,Unknown,Asaba,https://myschoolgist.com/ng/dou-courses/,accredited,,,,https://myschoolgist.com/ng/state-universities-in-nigeria/,CC-BY-NC-SA
Dominican University Ibadan Oyo State,university,private,Oyo,Unknown,https://myschoolgist.com/ng/dominican-university-courses/,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Dominion University Ibadan, Oyo State",university,private,Oyo,Oyo State,https://myschoolgist.com/ng/dominion-university-courses/,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
Edo State University,university,state,Edo,Unknown,https://myschoolgist.com/ng/list-of-available-courses-in-edo-university/,accredited,,,,https://myschoolgist.com/ng/state-universities-in-nigeria/,CC-BY-NC-SA
"Edusoko University, Bida, Niger State",university,private,Niger,Bida,,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Edwin Clark University, Kaigbodo",university,private,Unknown,Clark University,https://myschoolgist.com/ng/edwin-clark-university-courses/,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Eko University of Medical and Health Sciences Ijanikin, Lagos",university,private,Lagos,Unknown,https://myschoolgist.com/ng/ekounimed-courses/,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"El-Amin University, Minna, Niger State",university,private,Niger,University,,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Elizade University, Ilara-Mokin",university,private,Unknown,Ilara,https://myschoolgist.com/ng/list-of-available-courses-in-elizade-university/,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Elrazi Medical University Yargaya University, Kano State",university,private,Kano,Kano State,,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Emmanuel Alayande University of Education. Oyo, Oyo State",university,state,Oyo,Oyo State,,accredited,,,,https://myschoolgist.com/ng/state-universities-in-nigeria/,CC-BY-NC-SA
"Enugu State University of Medical and Applied Sciences, Igbo-Eno",university,state,Enugu,Igbo,,accredited,,,,https://myschoolgist.com/ng/state-universities-in-nigeria/,CC-BY-NC-SA
"Eranova University, Abuja",university,private,Abuja,Unknown,,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"European University of Nigeria, Duboyi, FCT",university,private,FCT,Duboyi,,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Evangel University, Akaeze",university,private,Unknown,Akaeze,https://myschoolgist.com/ng/evangel-university-courses/,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Federal University, Birnin Kebbi",university,federal,Kebbi,Birnin Kebbi,https://myschoolgist.com/ng/fubk-courses/,accredited,,,,https://myschoolgist.com/ng/federal-universities-in-nigeria/,CC-BY-NC-SA
"Federal University, Dutse, Jigawa State",university,federal,Jigawa,Dutse,https://myschoolgist.com/ng/fud-courses/,accredited,,,,https://myschoolgist.com/ng/federal-universities-in-nigeria/,CC-BY-NC-SA
"Federal University, Dutsin-Ma, Katsina",university,federal,Katsina,Dutsin,https://myschoolgist.com/ng/fudma-courses/,accredited,,,,https://myschoolgist.com/ng/federal-universities-in-nigeria/,CC-BY-NC-SA
"Federal University Gashua, Yobe",university,federal,Yobe,Unknown,https://myschoolgist.com/ng/fugashua-courses/,accredited,,,,https://myschoolgist.com/ng/federal-universities-in-nigeria/,CC-BY-NC-SA
"Federal University, Gusau Zamfara",university,federal,Zamfara,Gusau Zamfara,https://myschoolgist.com/ng/fugus-courses/,accredited,,,,https://myschoolgist.com/ng/federal-universities-in-nigeria/,CC-BY-NC-SA
"Federal University, Kashere, Gombe State",university,federal,Gombe,Kashere,https://myschoolgist.com/ng/fukashere-courses/,accredited,,,,https://myschoolgist.com/ng/federal-universities-in-nigeria/,CC-BY-NC-SA
"Federal University, Lafia, Nasarawa State",university,federal,Nasarawa,Lafia,https://myschoolgist.com/ng/fulafia-courses/,accredited,,,,https://myschoolgist.com/ng/federal-universities-in-nigeria/,CC-BY-NC-SA
"Federal University, Lokoja, Kogi State",university,federal,Kogi,Lokoja,https://myschoolgist.com/ng/fulokoja-courses/,accredited,,,,https://myschoolgist.com/ng/federal-universities-in-nigeria/,CC-BY-NC-SA
"Federal University, Ndifu-Alike, Ebonyi State",university,federal,Ebonyi,Ndifu,https://myschoolgist.com/ng/funai-courses/,accredited,,,,https://myschoolgist.com/ng/federal-universities-in-nigeria/,CC-BY-NC-SA
"Federal University of Agriculture, Abeokuta",university,federal,Unknown,Abeokuta,https://myschoolgist.com/ng/funaab-courses/,accredited,,,,https://myschoolgist.com/ng/federal-universities-in-nigeria/,CC-BY-NC-SA
"Federal University of Agriculture and Developmental Studies, Iragbuji, Osun State",university,federal,Osun,Iragbuji,,accredited,,,,https://myschoolgist.com/ng/federal-universities-in-nigeria/,CC-BY-NC-SA
"Federal University of Agriculture Bassam-Biri, Bayelsa",university,federal,Bayelsa,Unknown,,accredited,,,,https://myschoolgist.com/ng/federal-universities-in-nigeria/,CC-BY-NC-SA
"Federal University of Agriculture, Mubi",university,federal,Unknown,Mubi,,accredited,,,,https://myschoolgist.com/ng/federal-universities-in-nigeria/,CC-BY-NC-SA
"Federal University of Agriculture, Zuru, Kebbi State",university,federal,Kebbi,Zuru,https://myschoolgist.com/ng/fuaz-courses/,accredited,,,,https://myschoolgist.com/ng/federal-universities-in-nigeria/,CC-BY-NC-SA
"Federal University of Allied Health Sciences, Enugu",university,federal,Enugu,Unknown,,accredited,,,,https://myschoolgist.com/ng/federal-universities-in-nigeria/,CC-BY-NC-SA
"Federal University of Applied Sciences, Kachia, Kaduna State",university,federal,Kaduna,Kachia,,accredited,,,,https://myschoolgist.com/ng/federal-universities-in-nigeria/,CC-BY-NC-SA
"Federal University of Education, Kano",university,federal,Kano,Unknown,,accredited,,,,https://myschoolgist.com/ng/federal-universities-in-nigeria/,CC-BY-NC-SA
"Federal University of Education Kontagora, Niger State",university,federal,Niger,Niger State,,accredited,,,,https://myschoolgist.com/ng/federal-universities-in-nigeria/,CC-BY-NC-SA
"Federal University of Education Pankshin, Plateau State",university,federal,Plateau,Plateau State,,accredited,,,,https://myschoolgist.com/ng/federal-universities-in-nigeria/,CC-BY-NC-SA
"Federal University of Education, Zaria, Kaduna State",university,federal,Kaduna,Zaria,,accredited,,,,https://myschoolgist.com/ng/federal-universities-in-nigeria/,CC-BY-NC-SA
"Federal University of Environment and Technology, Tai Town, Ogoniland, Rivers State",university,federal,Rivers,Tai Town,,accredited,,,,https://myschoolgist.com/ng/federal-universities-in-nigeria/,CC-BY-NC-SA
"Federal University of Health Sciences, Azare, Bauchi State",university,federal,Bauchi,Azare,,accredited,,,,https://myschoolgist.com/ng/federal-universities-in-nigeria/,CC-BY-NC-SA
"Federal University of Health Sciences, Ila Orangun, Osun State",university,federal,Osun,Ila Orangun,,accredited,,,,https://myschoolgist.com/ng/federal-universities-in-nigeria/,CC-BY-NC-SA
"Federal University of Health Sciences, Katsina",university,federal,Katsina,Unknown,,accredited,,,,https://myschoolgist.com/ng/federal-universities-in-nigeria/,CC-BY-NC-SA
"Federal University of Health Sciences Kwale, Delta State",university,federal,Delta,Delta State,,accredited,,,,https://myschoolgist.com/ng/federal-universities-in-nigeria/,CC-BY-NC-SA
"Federal University of Medicine and Medical Sciences, Abeokuta",university,federal,Unknown,Abeokuta,,accredited,,,,https://myschoolgist.com/ng/federal-universities-in-nigeria/,CC-BY-NC-SA
"Federal University of Petroleum Resources, Effurun",university,federal,Unknown,Effurun,https://myschoolgist.com/ng/fupre-courses/,accredited,,,,https://myschoolgist.com/ng/federal-universities-in-nigeria/,CC-BY-NC-SA
"Federal University of Technology, Akure",university,federal,Unknown,Akure,https://myschoolgist.com/ng/futa-courses/,accredited,,,,https://myschoolgist.com/ng/federal-universities-in-nigeria/,CC-BY-NC-SA
"Federal University of Technology, Akure",university,federal,Ondo,Akure,https://futa.edu.ng,Accredited,info@futa.edu.ng,,,https://nuc.edu.ng,
"Federal University of Technology and Environmental Studies, Iyin-Ekiti, Ekiti State.",university,federal,Ekiti,Iyin,,accredited,,,,https://myschoolgist.com/ng/federal-universities-in-nigeria/,CC-BY-NC-SA
"Federal University of Technology, Babura, Jigawa State",university,federal,Jigawa,Babura,,accredited,,,,https://myschoolgist.com/ng/federal-universities-in-nigeria/,CC-BY-NC-SA
"Federal University of Technology, Ikot Abasi, Akwa Ibom State",university,federal,Akwa Ibom,Ikot Abasi,,accredited,,,,https://myschoolgist.com/ng/federal-universities-in-nigeria/,CC-BY-NC-SA
"Federal University of Technology, Minna",university,federal,Unknown,Minna,https://myschoolgist.com/ng/futminna-courses/,accredited,,,,https://myschoolgist.com/ng/federal-universities-in-nigeria/,CC-BY-NC-SA
"Federal University of Technology, Owerri",university,federal,Unknown,Owerri,https://myschoolgist.com/ng/futo-courses/,accredited,,,,https://myschoolgist.com/ng/federal-universities-in-nigeria/,CC-BY-NC-SA
"Federal University of Transportation Daura, Katsina",university,federal,Katsina,Unknown,,accredited,,,,https://myschoolgist.com/ng/federal-universities-in-nigeria/,CC-BY-NC-SA
"Federal University, Otuoke, Bayelsa",university,federal,Bayelsa,Otuoke,https://myschoolgist.com/ng/fuotuoke-courses/,accredited,,,,https://myschoolgist.com/ng/federal-universities-in-nigeria/,CC-BY-NC-SA
"Federal University, Oye-Ekiti, Ekiti State",university,federal,Ekiti,Oye,https://myschoolgist.com/ng/fuoye-courses/,accredited,,,,https://myschoolgist.com/ng/federal-universities-in-nigeria/,CC-BY-NC-SA
"Federal University, Wukari, Taraba State",university,federal,Taraba,Wukari,https://myschoolgist.com/ng/fuwukari-courses/,accredited,,,,https://myschoolgist.com/ng/federal-universities-in-nigeria/,CC-BY-NC-SA
"Fountain Unveristy, Oshogbo",university,private,Unknown,Unveristy,https://myschoolgist.com/ng/list-of-available-courses-in-fountain-university/,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Franco British International University, Kaduna State",university,private,Kaduna,Kaduna State,,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Gerar University of Medical Science Imope Ijebu, Ogun State.",university,private,Imo,Ogun State,,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Godfrey Okoye University, Ugwuomu-Nike – Enugu State",university,private,Enugu,Ugwuomu,https://myschoolgist.com/ng/godfrey-okoye-university-courses/,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Greenfield University, Kaduna",university,private,Kaduna,Unknown,,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Gregory University, Uturu",university,private,Unknown,Uturu,https://myschoolgist.com/ng/gregory-university-degree-programmes/,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
Hallmark University,university,private,Unknown,Unknown,https://myschoolgist.com/ng/hallmark-university-courses/,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Havilla University, Nde-Ikom, Cross River State",university,private,Cross River,Nde,https://myschoolgist.com/ng/havilla-university-huni-courses/,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Hensard University, Toru-Orua, Sagbama, Bayelsa State",university,private,Bayelsa,Toru,,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Hezekiah University, Umudi",university,private,Unknown,Umudi,https://myschoolgist.com/ng/hezekiah-university-courses/,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Hillside University of Science and Technology, Okemisi, Ekiti State",university,private,Ekiti,Okemisi,,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Huda University, Gusau, Zamafara State",university,private,Unknown,Gusau,,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Ibrahim Badamasi Babangida University, Lapai",university,state,Unknown,Lapai,https://myschoolgist.com/ng/ibbu-courses/,accredited,,,,https://myschoolgist.com/ng/state-universities-in-nigeria/,CC-BY-NC-SA
"Iconic Open University, Sokoto State.",university,private,Sokoto,Sokoto State,,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
Igbinedion University Okada,university,private,Unknown,Unknown,https://myschoolgist.com/ng/list-of-available-courses-in-igbinedion-university/,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Ignatius Ajuru University of Education,Rumuolumeni",university,state,Unknown,Rumuolumeni,https://myschoolgist.com/ng/iaue-courses/,accredited,,,,https://myschoolgist.com/ng/state-universities-in-nigeria/,CC-BY-NC-SA
Imo State University of Agriculture and Environmental Sciences (UAES),university,state,Imo,Unknown,https://myschoolgist.com/ng/uaes-post-utme-form/,accredited,,,,https://myschoolgist.com/ng/state-universities-in-nigeria/,CC-BY-NC-SA
"Isaac Balami University of Aeronautics and Management, Lagos State",university,private,Lagos,Lagos State,,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"James Hope University, Lagos, Lagos State",university,private,Lagos,Unknown,,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Jewel University, Gombe state",university,private,Gombe,Gombe state,,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Joseph Ayo Babalola University, Ikeji-Arakeji",university,private,Unknown,Ikeji,https://myschoolgist.com/ng/list-of-available-courses-in-jabu/,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Kano University of Science & Technology, Wudil",university,state,Kano,Wudil,https://myschoolgist.com/ng/kust-courses/,accredited,,,,https://myschoolgist.com/ng/state-universities-in-nigeria/,CC-BY-NC-SA
"Karl-Kumm University, Vom, Plateau State",university,private,Plateau,Vom,,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Kebbi State University, Kebbi",university,state,Kebbi,Unknown,https://myschoolgist.com/ng/ksusta-courses/,accredited,,,,https://myschoolgist.com/ng/state-universities-in-nigeria/,CC-BY-NC-SA
"Kevin Eze University, Mgbowo, Enugu State",university,private,Enugu,Eze University,,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Khadija University, Majia, Jigawa State",university,private,Jigawa,Majia,,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Khalifa Isiyaku Rabiu University, Kano",university,private,Kano,Unknown,,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
Kings University,university,private,Unknown,Unknown,https://myschoolgist.com/ng/kings-university-courses/,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
